X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
503918.9669,6950367.3424,3924,5571,306230,Babbidge Street - 44/58,Boundary Rd,Babbidge St,503919,6950367.3,-27.570555,153.039702,COOPERS PLAINS,2 - Intermediate,Y,Easy,Easy,Easy,2017/07/22 00:00:00+00
504646.6489,6951392.5793,3925,5573,306028,Highgate Street - 53B,Mandarin St,Middle St,504646.6,6951392.6,-27.561297,153.04707,COOPERS PLAINS,3 - Regular with seat,Y,Easy,Easy,Medium,2019/06/24 00:00:00+00
504661.2649,6951407.5274,3926,5574,306026,Highgate Street - 53B,Mandarin St,Middle St,504661.3,6951407.5,-27.561162,153.047218,COOPERS PLAINS,3 - Regular with seat,N,Hard,Easy,Easy,
504599.4552,6951112.5753,3927,5575,306027,Nyleta Street - 53,Mandarin St,Musgrave Rd,504599.5,6951112.6,-27.563825,153.046593,COOPERS PLAINS,4 - Regular,N,Hard,Hard,Hard,
504909.3003,6951054.9661,3928,5576,300435,Musgrave Road Troughton Road,Troughton Rd,Musgrave Rd,504909.3,6951055,-27.564344,153.049732,COOPERS PLAINS,2 - Intermediate,Y,Easy,Medium,Medium,2019/06/10 00:00:00+00
504894.8873,6951053.5319,3929,5577,300496,Musgrave Road Troughton Road,Troughton Rd,Musgrave Rd,504894.9,6951053.5,-27.564357,153.049586,COOPERS PLAINS,2 - Intermediate,Y,Easy,Medium,Hard,2018/01/25 00:00:00+00
504556.0985,6951057.5397,3930,5578,,Mossop Street - 54,MUSGRAVE RD,,504556.1,6951057.5,-27.564322,153.046154,COOPERS PLAINS,3 - Regular with seat,N,Hard,Easy,Easy,
504308.2401,6951101.1615,3931,5579,300438,Boundary Street - 54A,Musgrave Rd,Boundary St,504308.2,6951101.2,-27.563929,153.043643,COOPERS PLAINS,2 - Intermediate,Y,Easy,Easy,Easy,2018/01/09 00:00:00+00
504280.1122,6951118.4512,3932,5580,300494,Boundary Street Musgrave Road,Musgrave Rd,Boundary St,504280.1,6951118.5,-27.563773,153.043358,COOPERS PLAINS,2 - Intermediate,Y,Easy,Easy,Easy,2017/04/11 00:00:00+00
504035.308,6951150.5465,3933,5581,300439,Orange Grove Road - 54B,Musgrave Rd,Cricket St,504035.3,6951150.6,-27.563484,153.040878,COOPERS PLAINS,4 - Regular,Y,Easy,Hard,Medium,2017/07/18 00:00:00+00
503947.3607,6951177.1596,3934,5582,300493,Orange Grove Road - 54B,Musgrave Rd,Orange Grove Rd,503947.4,6951177.2,-27.563244,153.039987,COOPERS PLAINS,2 - Intermediate,Y,Easy,Easy,Medium,2017/07/22 00:00:00+00
504599.1487,6949773.8302,3935,5583,,Banoon Station stop for special events,BRETON ST,,504599.1,6949773.8,-27.575911,153.046595,SUNNYBANK,2 - Intermediate,N,Hard,Hard,Hard,
504937.8797,6951424.8094,3936,5585,306029,Middle Street - 54,Middle St,Troughton Rd,504937.9,6951424.8,-27.561005,153.05002,COOPERS PLAINS,4 - Regular,Y,Medium,Easy,Hard,
497443.0362,6949383.7483,3937,5586,,Rosemary North - 71,ROSEMARY ST,,497443,6949383.7,-27.579438,152.974094,INALA,2 - Intermediate,N,Hard,Easy,Easy,
